name,category
World Shipping Council (WSC),Shipping
Digital Container Shipping Association (DCSA),Shipping
Baltic and International Maritime Council (BIMCO),Shipping
The Institute of Chartered Shipbrokers,Shipping
The Nautical Institute,Shipping
Future of International Trade (FIT Alliance),Shipping
ITIC,Shipping
International Federation of Freight Forwarders Associations (FIATA),Freight
International Road Transport Union (IRU),Freight
International Transport Workers’ Federation (ITF),Freight
International Federation of Customs Brokers Associations (IFCBA),Freight
Intergovernmental Organisation for International Carriage by Rail (OTIF),Freight
International Maritime Organization (IMO),Maritime
International Chamber of Shipping (ICS),Maritime
International Association of Independent Tanker Owners (INTERTANKO),Maritime
Science & Technology (IMarEST),Maritime
International Salvage Union (ISU),Maritime
Institute of Marine Engineering,Maritime
International Union of Marine Insurance (IUMI),Maritime
International Association of Classification Societies (IACS),Maritime
International Group of P&I Clubs (IG P&I),Maritime
International Association of Dry Cargo Shipowners (INTERCARGO),Maritime
Federation of National Associations of Ship Brokers & Agents (FONASBA),Maritime
Comité Maritime International (CMI),Maritime
International Tribunal for the Law of the Sea (ITLOS),Maritime
International Labour Organization (ILO),Maritime
International Maritime Employers’ Council (IMEC),Maritime
International Association of Ports and Harbours (IAPH),Maritime
International Port Community Association (IPCSA),Maritime
International Warehouse Logistics Association (IWLA),Logistics
Council of Supply Chain Management Professionals (CSCMP),Logistics
Global Cold Chain Alliance (GCCA),Logistics
International Logistics and Supply Chain Congress (ILSC),Logistics
Freight Transport Association (FTA) / Logistics UK,Logistics
Association for Supply Chain Management (ASCM),Supply Chain
Chartered Institute of Procurement & Supply (CIPS),Supply Chain
Institute for Supply Management (ISM),Supply Chain
The Chartered Institute of Logistics and Transport (CILT,Supply Chain
United Nations Conference on Trade and Development (UNCTAD),Trade
World Trade Organization (WTO),Trade
International Trade Centre (ITC),Trade
United Nations Commission on International Trade Law (UNCITRAL),Trade
World Customs Organization (WCO),Trade
International Chamber of Commerce (ICC),Trade
United States Council for International Business (USCIB),Trade
ICC Digital Standards Initiative (DSI),Trade
Society for Worldwide Interbank Financial Telecommunication (SWIFT),Trade
Intermodal Association of North America (IANA),
Canadian International Freight Forwarders Association (CIFFA),
Association of Logistics and Forwarding Agents (ALFA),
Transportation Intermediaries Association (TIA),
Council of Supply Chain Management Professionals (CSCMP),
Institute for Supply Management (ISM),
Transportation Marketing & Sales Association (TMSA),
WCAworld,
Federation of National Associations of Cargo Agents and International Logistics Operators of  Latin America and the Caribbean (ALACAT),
Global Logistics Associates (GLA),
European Logistics Association (ELA),
"European Association for Forwarding, Transport, Logistics and Customs Service (CLELAT)",
The International Air & Shipping Association (IASA),
Logistics UK,
International Federation of Freight Forwarders Associations (FIATA),
Multimodal Exhibition,
The ASEAN Federation of Forwarders Associations (AFFA),
Japan International Freight Forwarders Association (JIFFA),
Asia-Pacific Logistics Federation (APLF),
Customs Brokers and Freight Forwarders Federation of New Zealand (CBAFF),
Shipping Australia Limited (SAL),
Freight and Trade Alliance (FTA),
International Forwarders & Customs Brokers Association of Australia Ltd. (IFCBAA),
Supply Chain and Logistics Association of Australia (SCLAA),
Federation of Asia Pacific Aircargo Associations (FAPAA),
Federation of East African Freight Forwarders Associations,
The South African Association of Freight Forwarders (SAAFF),
